sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GSM4115868,312,153,100,99,250,66,78,55,16,18,15,17,2,11,17,15,3,0,0,0
GSM4115869,115,252,221,172,359,20,17,13,36,17,2,6,3,92,4,4,3,0,0,0
GSM4115870,638,95,464,799,569,19,59,57,163,78,1,138,8,29,33,20,4,79,0,0
GSM4115871,913,494,700,380,610,170,33,156,62,103,16,28,47,9,42,4,0,11,0,2
GSM4115872,929,621,222,141,142,297,157,168,33,47,46,105,11,1,33,13,0,4,0,0
GSM4115873,345,129,382,154,133,84,182,137,25,34,9,39,10,19,16,15,3,0,2,2
GSM4115874,792,79,186,170,45,13,225,103,76,49,2,14,12,14,16,10,1,0,0,0
GSM4115875,1012,77,132,122,74,22,221,186,47,46,2,5,12,3,5,6,1,0,45,0
GSM4115876,107,306,398,348,204,97,33,23,98,18,10,3,11,19,10,15,2,1,0,0
GSM4115877,176,401,272,305,440,204,36,21,90,131,36,232,20,25,35,1,22,0,0,0
GSM4115878,351,181,730,565,164,194,66,70,172,204,39,127,19,44,11,24,16,0,0,0
GSM4115879,161,167,299,221,207,146,137,44,78,12,23,12,1,14,20,4,2,0,1,1
GSM4115880,730,99,174,160,106,31,67,66,63,95,20,29,72,12,13,16,22,0,1,0
GSM4115881,218,619,188,219,198,225,124,195,4,7,105,35,73,2,4,8,7,0,1,1
GSM4115882,200,903,213,347,125,87,33,26,55,26,181,2,14,4,1,11,3,0,0,0
GSM4115883,338,1125,207,261,236,394,60,90,8,28,142,33,36,3,30,7,3,0,0,0
GSM4115884,242,1674,258,335,311,629,77,47,34,24,180,1,22,24,1,9,2,0,1,1
GSM4115885,745,530,421,495,276,314,96,94,133,78,81,52,61,36,33,4,7,1,0,0
GSM4115886,435,632,434,209,74,172,71,66,91,61,78,69,10,14,4,16,7,0,0,0
GSM4115887,1084,426,249,290,161,60,237,277,58,45,44,66,3,13,30,11,3,1,0,0
GSM4115888,770,1380,78,204,367,280,262,229,70,46,67,3,52,8,16,15,2,0,1,9
GSM4115889,959,113,296,385,187,10,581,534,64,55,57,47,58,16,10,47,5,0,2,3
