Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
Drug_Perturbations_from_GEO_down,decitabine 451668 mouse GSE4768 sample 3105,48/313,3.358790482169104e-43,2.707185128628297e-40,0,0,23.27904667328699,2276.680942405715,SRPX;COL11A1;COL12A1;CRABP1;DPT;THY1;PTN;THBS2;FSTL1;FBLN5;C1QTNF3;CLMP;OLFML3;ABI3BP;CTSK;SLIT3;CTHRC1;PDGFRA;LUM;SERPINF1;MMP2;PCOLCE;IGF1;PDGFRL;DCN;COL1A1;MFAP5;RCN3;MFAP4;COL3A1;VCAN;COL1A2;SFRP2;CXCL12;COL5A1;LOX;COL6A2;TNMD;COL5A2;COL6A1;OGN;MXRA8;FIBIN;TMEM119;ITGBL1;GAS1;COL6A3;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE35011 sample 3267,38/271,1.3381734862872568e-32,5.392839149737646e-30,0,0,19.698670057754462,1445.7133156772368,CFD;LRP1;SERPINE2;HTRA1;DPT;AEBP1;THY1;THBS2;FSTL1;FBLN2;CXCL14;LOXL1;C3;EFEMP1;OLFML3;SVEP1;SERPINF1;TMEM176B;MMP2;PCOLCE;DCN;COL1A1;MFAP5;RCN3;GREM2;COL3A1;VCAN;COL1A2;SFRP2;CCDC80;CXCL12;COL5A1;LOX;COL5A2;MXRA8;SERPING1;COL6A3;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone 77999 mouse GSE11343 sample 2672,37/327,2.747461731237852e-28,7.381513851259029e-26,0,0,15.271207954305057,969.1368961018763,VIT;SRPX;ECM1;SERPINE2;PCOLCE2;FSTL1;THBS4;C3;DPP4;EFEMP1;OLFML3;ABI3BP;GPC3;APOD;PTGDS;ENTPD2;SCARA5;LUM;SERPINF1;MMP2;PCOLCE;CP;DCN;COL1A1;RCN3;SFRP4;COL3A1;COL1A2;SFRP2;ANGPTL7;SFRP5;COL5A2;COL6A1;OGN;SERPING1;DPEP1;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE35011 sample 2813,32/290,3.582781022912199e-24,7.219303761168081e-22,0,0,14.427464008859358,778.8796712338249,CFD;SERPINE2;PCOLCE2;HTRA1;DPT;THY1;THBS2;FSTL1;FBLN2;CXCL14;LOXL1;WISP2;C3;EFEMP1;CTSK;TMEM176B;MMP2;PCOLCE;DCN;COL1A1;MFAP5;RCN3;COL3A1;SFRP2;CCDC80;CXCL12;COL5A1;COL5A2;OGN;MXRA8;SERPING1;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,hydrocortisone DB00741 human GSE7890 sample 2751,32/295,6.1290878979069495e-24,9.880089691426e-22,0,0,14.14955640050697,756.2795875012737,ECM1;SERPINE2;ELN;NTM;HTRA1;AEBP1;THY1;THBS2;FBLN2;LOXL1;HAPLN1;COMP;EFEMP1;CLMP;LUM;MMP2;COL1A1;MFAP5;GREM1;GREM2;COL3A1;VCAN;COL1A2;SFRP2;CXCL12;FNDC1;COL5A1;LOX;COL6A2;COL5A2;COL6A3;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,paclitaxel DB01229 human GSE19136 sample 2576,33/360,2.4748869924181066e-22,3.324598193148323e-20,0,0,11.767455913860353,585.4389019362346,CFD;SRPX;C1S;ADH1B;C1R;HTRA1;PLAT;PRELP;AEBP1;THBS2;WISP2;EFEMP1;CTSK;APOD;LUM;SERPINF1;IGF1;CP;SOD3;DCN;COL1A1;MFAP4;COL3A1;VCAN;COL1A2;SFRP2;CCDC80;COL6A2;OGN;SERPING1;COL6A3;FMOD;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,palmitic acid 985 mouse GSE6766 sample 3553,28/314,9.884038382905684e-19,1.1380764195174258e-16,0,0,11.107334525939176,460.4900473202677,LRP1;HTRA1;FSTL1;FBLN2;LOXL1;FBLN5;C1QTNF3;OLFML3;APOD;SERPINF1;MMP2;PCOLCE;COL1A1;COL3A1;COL1A2;SFRP2;CCDC80;FNDC1;COL5A1;LOX;COL6A2;COL5A2;COL6A1;OGN;MXRA8;GAS1;COL6A3;FBN1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,decitabine 451668 mouse GSE4768 sample 3103,29/349,1.5677483116083797e-18,1.5795064239454423e-16,0,0,10.323830409356724,423.24495288973145,SRPX;COL11A1;COL12A1;PTN;FBLN5;WISP2;C1QTNF3;OLFML3;CTSK;CTHRC1;LUM;SERPINF1;TMEM176B;PCOLCE;MFAP5;RCN3;TUBB2B;COL3A1;COL1A2;SFRP2;CXCL12;COL5A1;COL6A2;TNMD;COL5A2;COL6A1;OGN;FIBIN;GAS1,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,DAPT 5311272 rat GSE31668 sample 2648,26/315,1.2471554818169102e-16,1.0664072268546678e-14,0,0,10.08801654536054,369.4281710028339,CEMIP;PCOLCE2;ELN;COL11A1;PLAT;THY1;FBLN2;HAPLN1;COMP;C1QTNF3;CLMP;TNN;WIF1;ABI3BP;CILP2;PTGDS;MIA;MME;S100B;PDGFRL;GREM1;MFAP4;FNDC1;LOX;CERCAM;COL9A3,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Phosgene 6371 mouse GSE2565 sample 3615,24/258,1.323085889397851e-16,1.0664072268546678e-14,0,0,11.402097902097902,416.8766016321839,CFD;PCOLCE2;ELN;PCOLCE;PRELP;SOD3;LOXL1;FBLN5;COL1A1;C3;MFAP5;MFAP4;COL3A1;COL1A2;OLFML3;WIF1;COL6A2;COL6A1;OGN;MXRA8;TMEM119;SERPING1;COL6A3;GPM6B,Drug_Perturbations_from_GEO_down,Fibroblasts_UP→DOWNmatch
