Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-radicicol-1.11,25/158,5.511711709388542e-23,8.698032248586058e-19,0,0,21.12459720730397,1082.6901486594463,CFD;SRPX;SERPINE2;PLAT;THY1;THBS2;LOXL1;COMP;C3;C1QTNF3;PDGFRA;MMP2;IGF1;COL1A1;MFAP5;MFAP4;VCAN;CXCL12;LOX;COL5A1;CILP;COL6A2;COL6A1;ITGBL1;FBN1,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-BI-2536-0.37,20/92,1.6939411184882489e-21,1.3366042395431529e-17,0,0,30.444444444444443,1456.0734197571546,MME;C1S;SERPINF1;PCOLCE;FBLN1;IGF1;THBS2;CXCL14;CHRDL1;DCN;THBS4;COMP;COL1A1;SFRP4;VCAN;EFEMP1;LOX;COL5A1;CILP;FMOD,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP008 PC3 24H-I-BET-10,21/121,2.4432391287758522e-20,1.2852252230403904e-16,0,0,23.11173184357542,1043.6883040866023,CFD;PDGFRA;SERPINE2;C1R;IGF1;ABCA8;THBS2;CXCL14;LOXL1;THBS4;C3;COL1A1;VCAN;CXCL12;COL6A2;COL5A2;COL6A1;MAL;ITGBL1;COL6A3;FMOD,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-tanespimycin-10,21/131,1.3786460228245971e-19,5.439103221548741e-16,0,0,21.0,911.9883127369184,PDGFRA;SRPX;ECM1;SERPINE2;COL11A1;AEBP1;THBS2;CXCL14;LOXL1;COMP;C3;SFRP4;VCAN;TUBB2B;LOX;COL5A1;CILP;SCD;COL6A2;MAL;SCG2,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP008 HCC515 24H-I-BET151-1.11,20/120,4.6945270324904875e-19,1.4816866219946473e-15,0,0,21.88888888888889,923.7706357085992,CFD;SRPX;SERPINE2;C1S;C1R;SERPINF1;PLA2G2A;PCOLCE;FBLN1;AEBP1;IGF1;CXCL14;CHRDL1;THBS4;C3;VCAN;LOX;CILP;SERPING1;PTGDS,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-XMD-1150-10,20/122,6.611745795103078e-19,1.7389993398753613e-15,0,0,21.45751633986928,898.2174067810582,C1S;ADH1B;C1R;PCOLCE;FBLN1;AEBP1;IGF1;CXCL14;DCN;COMP;C3;COL1A1;SFRP4;EFEMP1;CXCL12;LOX;COL5A1;CILP;COL6A2;MAL,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-radicicol-1.11,20/147,2.9738533909037985e-17,6.704340051693264e-14,0,0,17.211723534558182,654.9764425495666,SERPINE2;LUM;MMP2;COL11A1;TMEM176B;PLAT;THBS2;CXCL14;LOXL1;COMP;COL1A1;GREM1;MFAP5;SFRP4;C1QTNF3;VCAN;CXCL12;LOX;COL5A1;FBN1,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-pelitinib-10,18/113,6.773639061975765e-17,1.3361849754629946e-13,0,0,20.51417004048583,763.7611797460908,C1S;ADH1B;LUM;SERPINF1;THBS2;CP;DCN;C3;COL1A1;MMP11;VCAN;COL3A1;COL1A2;CTSK;COL6A2;COL5A2;GPC3;COL6A3,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP009 A375 24H-MLN-8054-1.11,14/54,1.4427271602932687e-16,2.529741924065341e-13,0,0,37.18279569892473,1356.2360146189808,SRPX;PDGFRA;SERPINE2;ADH1B;C1R;DPT;PTN;IGF1;IQGAP2;THBS2;SFRP4;CXCL12;GAS1;APOD,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP008 HCC515 24H-I-BET151-10,21/185,2.035303777669982e-16,3.2119128915409986e-13,0,0,14.046736612617522,507.51865694731407,C1S;ADH1B;C1R;PCOLCE;FBLN1;IGF1;THBS2;CXCL14;DCN;C3;COL1A1;SFRP4;VCAN;EFEMP1;LOX;COL5A1;CILP;OLFML3;COL5A2;MAL;FMOD,LINCS_L1000_Chem_Pert_down,Fibroblasts_UP→DOWNmatch
