Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-JW-7-24-1-10,20/162,7.561703949792887e-17,1.4097284673598885e-12,0,0,16.294946147473073,604.882252120785,TGFB2;TPM2;TPM1;FHL1;DSTN;NEDD9;ACTG2;ACTA2;CNN1;RCAN1;PCP4;ACTC1;BAG2;CALD1;PEG10;STMN1;ALDH1A1;ANXA6;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-THZ-2-98-01-10,13/48,4.890859280010176e-16,4.559014477861484e-12,0,0,41.49717514124294,1462.9411417836309,CPM;TPM1;WFDC1;NEDD9;LTBP1;MYLK;RCAN1;PCP4;STMN1;PLP1;EFHD1;SCRG1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-CHIR-99021-10,16/121,3.482673564640254e-14,2.1642494421862756e-10,0,0,17.256704980842912,534.757521963306,SYNM;SPARC;PLLP;TPM2;MCAM;LAMA4;TPM1;PLAT;AURKB;MYLK;ACTA2;AZGP1;SH3BGRL;COL4A2;STMN1;CDH19,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 A549 24H-ruxolitinib-10,12/55,1.1694863044595458e-13,5.450683293509828e-10,0,0,30.99085445518683,922.8159627203844,ACTA2;TAGLN;COL4A2;CALD1;TGFB1I1;TPM1;FN1;PMP22;ITGA6;COL9A3;ACTG2;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-BI-2536-10,13/75,2.568442257698573e-13,7.188435906796198e-10,0,0,23.393839985420083,678.1945941776621,NRN1;TGFB1I1;TPM1;PLAT;ACTA2;CNN1;LGALS1;CSRP1;COL4A2;CALD1;MBP;MYL9;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-KIN001-220-10,14/94,2.699085519904168e-13,7.188435906796198e-10,0,0,19.617897727272727,567.7555591502386,SERPINE2;FHL1;TPM1;LMOD1;TNC;NEDD9;DSTN;SERPINB9;MYLK;ACTA2;PCP4;ALDH1A1;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 24H-KIN001-043-3.33,14/94,2.699085519904168e-13,7.188435906796198e-10,0,0,19.617897727272727,567.7555591502386,TPM2;TPM1;FN1;ACTG2;CNN1;AZGP1;PLN;DES;CSRP1;PEG10;S100A6;EFHD1;MYH11;BCAS1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 24H-radicicol-3.33,16/144,5.540552359424532e-13,1.2911564704593943e-09,0,0,14.139367816091951,399.0343386252719,NRN1;TPM2;TPM1;FHL1;NEDD9;PLAT;SULF1;ACTG2;CNN1;RCAN1;PLN;DES;MYH11;FXYD6;FILIP1L;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 24H-withaferin-a-3.33,15/127,1.222810085118771e-12,2.5329831574299156e-09,0,0,15.075,413.5052835772932,SPARC;SERPINE2;TGFB1I1;TPM1;SULF1;MYLK;ACTA2;PCP4;PLN;DES;CALD1;STMN1;MYH11;FILIP1L;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-QL-X-138-10,18/219,3.4244773293658407e-12,6.0327733626152164e-09,0,0,10.209475876431794,269.53090087885846,TGFB2;SEMA3C;TPM2;MCAM;TPM1;FHL1;TNC;FN1;NEDD9;WFDC2;BAG2;CSRP1;CALD1;STMN1;ALDH1A1;ANXA6;MAL;CRYAB,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-THZ-2-98-01-10,12/72,3.55954014851512e-12,6.0327733626152164e-09,0,0,22.191011235955056,584.9858961636797,CNN1;PCP4;SPARC;CSRP1;TPM2;MCAM;STMN1;TPM1;EFHD1;PLAT;LTBP1;ACTG2,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-NVP-TAE684-3.33,13/94,5.224019355331171e-12,8.115949403453251e-09,0,0,17.88916788728465,464.7204029783739,TAGLN;SEMA3C;TGFB1I1;FHL1;TPM1;FN1;ASPN;MYLK;ACTA2;LGALS1;CALD1;PMP22;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-SYK-inhibitor-3.33,13/99,1.029479532773865e-11,1.4763528407310129e-08,0,0,16.84482985153068,426.163796195666,SERPINE2;TPM1;ACTG2;CNN1;RCAN1;MFAP4;AZGP1;PDLIM3;ACTC1;PPP1R1A;CSRP1;MYH11;MYL9,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-afatinib-10,15/148,1.158305297276341e-11,1.5424489755087733e-08,0,0,12.681203007518796,319.3314350123752,TGFB2;SERPINE2;TGFB1I1;TPM1;TNC;NEDD9;PLAT;ACTG2;CNN1;CALD1;STMN1;ANXA6;FILIP1L;MYL9;CTNNAL1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-CHIR-99021-10,12/84,2.371248227887696e-11,2.9471453808340213e-08,0,0,18.4812734082397,452.1447148348959,ACTA2;AZGP1;TAGLN;COL4A2;PEG10;MCAM;STMN1;TPM1;EFHD1;NEDD9;MYL9;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
LINCS_L1000_Chem_Pert_down,LJP007 HA1E 24H-INK-128-10,13/110,4.029498356952748e-11,4.69512111679188e-08,0,0,14.92626244976411,357.25701889391456,TPM1;TNC;NEDD9;ACTG2;KLK6;CNN1;PDLIM3;ACTC1;CSRP1;ANXA6;FILIP1L;MYL9;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch
