Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
Drug_Perturbations_from_GEO_down,acrylamide 6579 rat GSE29004 sample 3110,37/274,5.444306176279165e-32,4.731102067186594e-29,0,0,19.971898182620446,1437.740055111718,SHC4;GPM6A;SPARC;SERPINE2;SEMA3B;LGALS1;MPZ;PRX;MBP;CTNNAL1;GPM6B;SNCA;BCAS1;SLC12A2;MLIP;EGR2;CKM;MYOC;PLLP;TPM1;OXR1;AIF1L;ACTA1;PLA2G16;COL4A2;SFRP5;S100A6;PMP22;MAL;VWA1;COL9A3;FXYD6;PMP2;ITGA6;VIM;HAGH;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,paclitaxel DB01229 human GSE19136 sample 2576,33/360,4.574508357125242e-23,1.9876238811709172e-20,0,0,12.523403260679016,644.190813201417,C11ORF96;TAGLN;SPARC;TNFAIP6;FHL1;LMOD1;PLAT;LTBP1;ACTG2;CNN1;FGF7;PDLIM3;SH3BGRL;PLN;MYH11;FILIP1L;CTNNAL1;AOC3;TPM2;FN1;DSTN;SULF1;ACTA2;MFAP4;DYNC1LI2;ACTC1;COL4A2;ALDH1A1;CASQ2;ITGA8;SPARCL1;MYL9;SCRG1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,acrylamide 6579 rat GSE29004 sample 3109,23/212,6.074128529147319e-18,1.7594725639430068e-15,0,0,14.297848746950544,566.8023709670953,MLIP;SPARC;SERPINE2;PLLP;SEMA3B;LPL;S100B;MT3;LDHB;PLA2G16;LGALS1;COL4A2;MPZ;PRX;PMP22;MAL;COL9A3;MYH11;MBP;VIM;CRYAB;CTNNAL1;BCAS1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,cisplatin DB00515 mouse GSE6206 sample 2692,23/307,2.0810644783331744e-14,4.521112579178821e-12,0,0,9.469047819853252,298.30636564034126,TAGLN;SPARC;TPM2;TGFB1I1;TPM1;FHL1;TNC;FN1;LPP;ACTG2;ACTA2;CNN1;ACTA1;INPP5A;BAG2;CSRP1;COL4A2;CALD1;ANXA6;FXYD6;FLNC;MYL9;PDLIM7,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE11343 sample 2815,21/248,2.7109815805038372e-14,4.711685986915669e-12,0,0,10.719782081693298,334.87399171239383,GPM6A;MLIP;EGR2;CD151;LDHB;DYNC1LI2;PCP4;FMNL2;CSRP1;COL4A2;MPZ;STMN1;PRX;ALDH1A1;S100A6;PMP22;CASQ2;PLP1;EFHD1;MBP;FXYD6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,ascorbic acid 54670067 human GSE11919 sample 3190,21/287,4.781666605301766e-13,6.004392085739488e-11,0,0,9.129866085331672,259.00350076611795,C11ORF96;TAGLN;CD151;SERPINE2;TPM2;SYNPO2;TPM1;FHL1;LMOD1;SULF1;ACTG2;MYLK;ACTA2;CNN1;ACTC1;CSRP1;COL4A2;EFHD1;FLNC;MYL9;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,cisplatin DB00515 mouse GSE6206 sample 3412,22/321,4.836679470676227e-13,6.004392085739488e-11,0,0,8.545190316929448,242.31919004837712,TAGLN;SPARC;TPM2;TGFB1I1;TPM1;FHL1;TNC;FN1;DSTN;LPP;ACTG2;ACTA2;CNN1;ACTA1;INPP5A;BAG2;CSRP1;COL4A2;CALD1;ANXA6;FLNC;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 mouse GSE35011 sample 3267,20/271,1.5122722985006785e-12,1.642705784246362e-10,0,0,9.16756503398172,249.51735572172836,TAGLN;SPARC;SERPINE2;TPM2;TPM1;TNC;FN1;DSTN;ACTA2;CNN1;ACTA1;FGF7;LGALS1;CSRP1;COL4A2;CALD1;S100A6;PMP22;VIM;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Ascorbyl-2-phosphate 54679073 human GSE11919 sample 3191,20/296,7.657451140793129e-12,7.393694490388033e-10,0,0,8.326513213981245,213.11995285307592,C11ORF96;TAGLN;SERPINE2;TPM2;SYNPO2;TPM1;FHL1;DSTN;SULF1;ACTG2;MYLK;ACTA2;CNN1;SH3BGRL;ACTC1;CSRP1;COL4A2;FLNC;MYL9;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,DAPT 5311272 rat GSE31668 sample 2648,20/315,2.3680023572076483e-11,2.0577940484134463e-09,0,0,7.782652043868395,190.4133947732156,TAGLN;MIA;TNFAIP6;MME;WFDC1;NEDD9;PLAT;S100B;ARHGAP24;ASPN;ACTA2;MFAP4;NOV;ALDH1A1;VWA1;COL9A3;FAM83D;MYL9;SCRG1;IL17B,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,carbidopa DB00190 mouse GSE47099 sample 3293,18/259,5.6542455529591583e-11,4.466853986837735e-09,0,0,8.497587571166651,200.509325603025,TAGLN;SYNM;TPM2;TNC;LPL;HSD17B6;ACTG2;ASPN;ACTA2;CNN1;PCP4;PDLIM3;DES;PLN;ITGA8;VWA1;MYH11;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,PRISTANE 15979 mouse GSE17297 sample 3230,18/275,1.5114004055362946e-10,1.0945057936758669e-08,0,0,7.962039634422224,180.04412360702608,AOC3;TAGLN;TPM2;FHL1;DSTN;LPL;ACTG2;MYLK;CNN1;PLA2G16;PGRMC1;LGALS1;COL4A2;SPARCL1;MYH11;HADH;LPIN1;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,dexamethasone DB01234 mouse GSE484 sample 2711,17/242,1.6741446517709247e-10,1.1191013095299488e-08,0,0,8.553500321130379,192.54398425767465,TAGLN;MCAM;TGFB1I1;TPM1;FHL1;TNC;ACTG2;MYLK;ACTA2;RCAN1;ACTA1;PDLIM3;LGALS1;ACTC1;CSRP1;ANXA6;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,tretinoin DB00755 mouse GSE484 sample 2826,18/286,2.8598427450843406e-10,1.7751452467702093e-08,0,0,7.630944116626171,167.6906401816766,SPARC;FHL1;TNC;ACTG2;MYLK;ACTA2;RCAN1;CNN1;ACTA1;MFAP4;LGALS1;ACTC1;CSRP1;COL4A2;STMN1;ANXA6;SPARCL1;MYH11,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,vitamin c DB00126 mouse GSE19379 sample 3513,17/252,3.141045928031941e-10,1.8197126076398376e-08,0,0,8.185340056573606,179.1058411684863,TGFB2;TAGLN;EGR2;RNF13;TPM2;TPM1;SULF1;LTBP1;ACTG2;ASPN;ACTA2;CNN1;CALD1;EFHD1;VIM;MYL9;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE2195 sample 3619,19/329,3.83997567268382e-10,2.016991626643788e-08,0,0,6.989247311827957,151.52957187193184,TAGLN;TGFB1I1;DSTN;PLAT;WFDC2;ACTG2;CNN1;PCP4;SMTN;LGALS1;COL4A2;SLMAP;FXYD1;S100A6;ANXA6;MYH11;HADH;RAMP1;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,candesartan DB00796 rat GSE2739 sample 2687,20/369,3.9457833892916444e-10,2.016991626643788e-08,0,0,6.560256194168212,142.0505618438249,CD151;NRN1;SERPINE2;PLLP;WFDC1;S100B;MT3;KLK6;NR4A1;RGCC;CSRP1;REEP2;STMN1;FXYD1;PMP22;PLP1;SPARCL1;MAL;MBP;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Retinoic acid 444795 mouse GSE1588 sample 3633,18/294,4.466632764096822e-10,2.1563910400000773e-08,0,0,7.406723963599595,159.4609608187762,TAGLN;SERPINE2;MCAM;TNC;FN1;DSTN;LPP;ACTG2;SOX2;ACTA2;CNN1;ACTA1;SH3BGRL;PGRMC1;LGALS1;ACTC1;STMN1;S100A6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,VX 39793 human GSE33606 sample 3345,20/380,6.588019440458964e-10,2.846216510081881e-08,0,0,6.356209150326797,134.37406351081518,C11ORF96;SPARC;SEMA3C;TGFB1I1;NEXN;PLAT;LTBP1;ASPN;LGALS1;FMNL2;COL4A2;NOV;MPZ;PLP1;SPARCL1;ITGB8;CNTN4;CRYAB;GPM6B;CDH19,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,captopril DB01197 mouse GSE19286 sample 2689,22/466,6.803316898441058e-10,2.846216510081881e-08,0,0,5.711765336765337,120.56645966068508,AOC3;TAGLN;SPARC;CD151;SERPINE2;TPM1;PGAM2;FHL1;FN1;DSTN;LDHB;LGALS1;ACTC1;PLN;STMN1;FXYD1;CASQ2;VIM;HADH;LPIN1;MYL9;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,methylprednisolone 6741 rat GSE490 sample 3668,18/302,6.878083626204775e-10,2.846216510081881e-08,0,0,7.195135931870292,151.79945845819933,CKM;MYOC;TPM1;NEXN;SERPINB9;UACA;LTBP1;ACTA1;LDHB;LGALS1;CSRP1;FXYD1;ANXA6;SPARCL1;VIM;DYNLRB1;MYL9;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE2195 sample 3621,17/266,7.227710198673408e-10,2.8549455284759962e-08,0,0,7.719595143580101,162.48148780653327,AOC3;SPARC;MCAM;LPP;WFDC2;MYLK;ACTA1;PCP4;SMTN;SH3BGRL;PGRMC1;FXYD1;S100A6;SPARCL1;MYH11;HADH;RAMP1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,l-arginine 6322 mouse GSE34874 sample 3214,20/390,1.0338698713982914e-09,3.9062300793265895e-08,0,0,6.1812400635930045,127.88959061859248,AOC3;CPM;TAGLN;NRN1;FHL1;LPL;SORBS2;WFDC2;ACTG2;ASPN;ACTA2;CNN1;PCP4;PDLIM3;DES;PLN;NOV;FXYD1;SPARCL1;MYL9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
