Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
LINCS_L1000_Chem_Pert_up,LJP006 A375 24H-selumetinib-3.33,21/190,1.227056061648908e-16,2.538656285945426e-12,0,0,14.441406113231327,529.0860934734457,CYFIP2;TAGLN;TPM2;SORBS2;SULF1;ACTG2;MYLK;SOX2;PLA2G16;CNN1;PCP4;SH3BGRL;PLN;DES;NOV;ALDH1A1;MYL9;CRYAB;SCRG1;SOX4;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A549 24H-THZ-2-98-01-0.04,13/50,8.848763824849424e-16,5.767920421494849e-12,0,0,39.250114521300965,1360.451505420779,CPM;SYNM;TAGLN;MCAM;NEDD9;SORBS2;ACTG2;MYLK;ACTA2;CNN1;PLN;PMP22;MYH11,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-AZ-628-1.11,20/185,1.0440107783609348e-15,5.767920421494849e-12,0,0,14.007130124777184,483.1858508318449,CYFIP2;GPM6A;TAGLN;TPM2;SEMA3B;LMOD1;LTBP1;ACTG2;MYLK;SOX2;ACTA2;CNN1;DES;PLP1;MYH11;CRYAB;SCRG1;SOX4;GPM6B;CES1,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HME1 24H-lapatinib-1.11,16/98,1.1151665950978489e-15,5.767920421494849e-12,0,0,22.122792262405383,761.6827066175932,TAGLN;SEMA3C;TPM1;FHL1;LMOD1;HSD17B6;SULF1;ACTG2;MYLK;ACTA2;CNN1;SH3BGRL;CALD1;ITGA8;FILIP1L;MYL9,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A375 24H-PD-0325901-3.33,20/213,1.6078903200614808e-14,6.653128566350396e-11,0,0,11.957939652544956,379.7993301267439,TAGLN;TPM2;SEMA3B;LMOD1;SORBS2;SULF1;WFDC2;ACTG2;MYLK;SOX2;CNN1;SH3BGRL;DES;NOV;ALDH1A1;MYL9;CRYAB;SCRG1;GPM6B;SOX4,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HME1 24H-radicicol-0.12,15/111,1.625810456965789e-13,4.903295376106823e-10,0,0,17.601785714285715,518.3303410347321,GPM6A;TAGLN;SEMA3C;TPM2;TPM1;FHL1;ACTG2;MYLK;ACTA2;CNN1;SH3BGRL;DES;ACTC1;FILIP1L;MYL9,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-CGP-60474-1.11,18/185,1.8960009187904e-13,4.903295376106823e-10,0,0,12.309358028129786,360.5886024016494,AOC3;GPM6A;CPM;EGR2;SULF1;LTBP1;WFDC2;NR4A2;CNN1;NR4A1;MFAP4;BAG2;CALD1;ANXA6;SPARCL1;MYH11;RAMP1;CES1,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-AZ-628-3.33,18/185,1.8960009187904e-13,4.903295376106823e-10,0,0,12.309358028129786,360.5886024016494,CYFIP2;TPM2;SEMA3B;LMOD1;LTBP1;ACTG2;MYLK;SOX2;ACTA2;CNN1;DES;ALDH1A1;PLP1;MYH11;CRYAB;SCRG1;SOX4;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HME1 24H-PD-0325901-10,14/94,2.699085519904168e-13,6.20459781347748e-10,0,0,19.617897727272727,567.7555591502386,GPM6A;TAGLN;SEMA3C;TPM2;FHL1;LMOD1;ACTG2;ACTA2;CNN1;PCP4;SH3BGRL;ALDH1A1;MYH11;MYL9,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 PC3 24H-WZ-4002-0.37,11/45,3.256040606836007e-13,6.736422411483014e-10,0,0,35.74367400591522,1027.7412289442684,CNN1;PCP4;PLN;DES;NOV;LMOD1;TNC;MYH11;HSD17B6;ACTG2;MYLK,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HME1 24H-PD-0325901-0.12,17/166,3.928914602888692e-13,7.389574019924012e-10,0,0,12.9664817472941,370.3907020139506,GPM6A;TAGLN;TPM2;TGFB1I1;TPM1;LMOD1;DSTN;SORBS2;ACTG2;ACTA2;PCP4;SH3BGRL;DES;PEG10;FILIP1L;MYL9;CRYAB,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A375 24H-AS-605240-0.12,17/170,5.817411865495482e-13,1.002970284043633e-09,0,0,12.624919717405266,355.6787163455165,CYFIP2;GPM6A;TPM2;FHL1;SULF1;ASPN;SOX2;NR4A2;PCP4;SH3BGRL;DES;NOV;ALDH1A1;FILIP1L;CRYAB;SCRG1;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A375 24H-selumetinib-0.37,19/228,6.514278596118101e-13,1.0367223836545182e-09,0,0,10.420520999468367,292.3957524716944,TAGLN;SERPINB9;SULF1;ACTG2;ASPN;MYLK;NR4A2;SOX2;CNN1;SH3BGRL;DES;NOV;ALDH1A1;FILIP1L;MYL9;CRYAB;SCRG1;GPM6B;SOX4,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 MCF7 24H-tivantinib-10,15/129,1.5417281175656246e-12,2.101165848670975e-09,0,0,14.809022556390978,402.7775307268189,AOC3;LAMA4;TPM1;ACTG2;CNN1;AZGP1;PDLIM3;PLN;ACTC1;CSRP1;ALDH1A1;MYH11;ITGA6;FILIP1L;CRYAB,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-AZ-628-10,17/181,1.6249530464853597e-12,2.101165848670975e-09,0,0,11.771535316509237,319.54470863464434,CYFIP2;TAGLN;TPM2;LMOD1;LTBP1;ACTG2;WFDC2;MYLK;SOX2;ACTA2;CNN1;DES;MYH11;CRYAB;SCRG1;RAMP1;SOX4,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-PD-0325901-0.12,17/181,1.6249530464853597e-12,2.101165848670975e-09,0,0,11.771535316509237,319.54470863464434,CYFIP2;SEMA3B;LMOD1;SERPINB9;LTBP1;ACTG2;MYLK;SOX2;CNN1;PCP4;DES;PLP1;MYH11;CRYAB;SCRG1;SOX4;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 MCF10A 24H-MK-2206-3.33,13/87,1.880215032020612e-12,2.2882216939690844e-09,0,0,19.588334096808676,528.8778702233793,TAGLN;MME;TGFB1I1;FHL1;TPM1;LMOD1;FN1;ACTG2;CNN1;LGALS1;MYH11;MYL9;SOX4,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HME1 24H-PD-0325901-0.04,12/74,5.001071638229699e-12,5.509778112684349e-09,0,0,21.47299746284886,558.7567883440743,ACTA2;SLC12A2;GPM6A;PCP4;TAGLN;TPM2;TPM1;NEDD9;SULF1;MYL9;CRYAB;ACTG2,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A375 24H-gefitinib-3.33,16/166,5.059973132630994e-12,5.509778112684349e-09,0,0,12.052107279693487,313.47121193415103,GPM6A;TAGLN;LMOD1;SORBS2;ACTG2;MYLK;SOX2;PCP4;SH3BGRL;DES;NOV;ALDH1A1;CRYAB;SCRG1;SOX4;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP005 A375 24H-TGX-221-0.37,17/198,6.959355355263238e-12,7.1991051472520565e-09,0,0,10.656692108708842,273.7803764710761,SEMA3B;LMOD1;WFDC1;SERPINB9;SULF1;ACTG2;ASPN;MYLK;SOX2;PCP4;SH3BGRL;NOV;PLP1;CRYAB;SCRG1;GPM6B;SOX4,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP005 A549 24H-CGP-60474-0.37,16/171,7.98423669324637e-12,7.865993949836863e-09,0,0,11.660363366703743,297.96370083018803,GPM6A;EGR2;MME;PLAT;ACTG2;ASPN;MYLK;NR4A2;ACTA2;RCAN1;NR4A1;BAG2;SPARCL1;MYH11;FILIP1L;RAMP1,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP007 A375 24H-PD-0325901-0.37,16/175,1.137599473492569e-11,1.0698088866858072e-08,0,0,11.36470758331526,286.38512723633573,CPM;SEMA3B;LMOD1;SERPINB9;LTBP1;ACTG2;MYLK;SOX2;CNN1;DES;ALDH1A1;PMP2;CRYAB;SCRG1;RAMP1;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HS578T 24H-alvocidib-3.33,16/176,1.2410808338506859e-11,1.1163791900668193e-08,0,0,11.29310344827586,283.59753389166184,AOC3;GPM6A;EGR2;PLLP;FHL1;PLAT;LTBP1;WFDC2;ASPN;NR4A2;NR4A1;MFAP4;SH3BGRL;MBP;PSMF1;GPM6B,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 A549 24H-AT-7519-3.33,15/155,2.262820177204124e-11,1.9506452769240053e-08,0,0,12.042857142857144,295.19239620688893,AOC3;GPM6A;EGR2;SYNM;TAGLN;PLAT;ASPN;MYLK;NR4A2;ACTA2;CNN1;RCAN1;NOV;MYH11;CRYAB,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 HA1E 24H-PD-0325901-1.11,12/86,3.156281580271001e-11,2.612012384569069e-08,0,0,17.97995748557546,434.7381364735296,SOX2;PLA2G16;CNN1;PCP4;ACTC1;CSRP1;FHL1;NEDD9;LPL;COL9A3;SULF1;CRYAB,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP005 MDAMB231 24H-PD-184352-0.37,8/24,3.694431963314604e-11,2.9397731880390716e-08,0,0,54.37912087912088,1306.2739910245486,ACTA2;TAGLN;TPM2;PEG10;FHL1;MYH11;MYL9;ACTG2,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
LINCS_L1000_Chem_Pert_up,LJP006 MCF10A 24H-torin-1-10,15/164,5.0963646075052135e-11,3.9051365690620516e-08,0,0,11.31025886864813,268.05210097056124,MME;SEMA3C;TPM2;TPM1;FHL1;FN1;SULF1;LTBP1;ACTG2;SH3BGRL;MYH11;MYL9;CRYAB;SOX4;SNCA,LINCS_L1000_Chem_Pert_up,Myofibroblasts_UP→UPmatch
