Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
Drug_Perturbations_from_GEO_up,quercetin DB04216 mouse GSE4262 sample 3427,29/360,8.613705212288622e-19,7.468082419054235e-16,0,0,10.600120095325664,440.92007480598346,CYFIP2;TAGLN;SPARC;TGFB1I1;TNC;ACTG2;MYLK;CNN1;PDLIM3;LGALS1;CSRP1;CALD1;MYH11;AOC3;PPP1R14A;TPM2;MCAM;TPM1;FN1;ASPN;ACTA2;PCP4;SMTN;DES;COL4A2;SPARCL1;FXYD6;VIM;MYL9,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,acrylamide 6579 rat GSE29004 sample 3109,29/388,6.5977699883246595e-18,2.86013328993874e-15,0,0,9.759321095520685,386.0767903087199,GPM6A;TAGLN;SEMA3C;FHL1;TNC;WFDC1;PLAT;SH3BGRL;PGRMC1;CSRP1;SH3BP5;GPM6B;SLC12A2;SBSPON;CKM;MYOC;TPM2;TPM1;FN1;DSTN;ACTA1;DYNC1LI2;NOV;SFRP5;ALDH1A1;PLP1;SPARCL1;FXYD6;DYNLRB1,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,etanercept DB00005 human GSE47751 sample 2594,25/315,3.671797647791736e-16,1.0424417552582207e-13,0,0,10.19853709508882,362.4629446239503,TAGLN;SPARC;SEMA3C;TGFB1I1;FHL1;LPL;CNN1;LGALS1;PLN;EFHD1;MYH11;SLC12A2;PPP1R14A;FGFBP2;MIA;SULF1;ASPN;MFAP4;AZGP1;FXYD1;SPARCL1;FXYD6;MYL9;CRYAB;SCRG1,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,formaldehyde 712 rat GSE7002 sample 3536,26/351,4.809419862783025e-16,1.0424417552582207e-13,0,0,9.504878048780489,335.2445103160987,TAGLN;LAMA4;TNC;WFDC1;LTBP1;LGALS1;MBP;FAM83D;AOC3;PPP1R14A;MIA;MME;PLLP;FN1;S100B;ASPN;ACTA2;MFAP4;AZGP1;RGCC;COL4A2;PLP1;SPARCL1;MAL;COL9A3;MYL9,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,dexamethasone DB01234 rat GSE15563 sample 2713,22/309,2.240100500454867e-13,3.8843342677887393e-11,0,0,8.907955865272939,259.4627919201644,TAGLN;SPARC;FHL1;TNC;ACTG2;ASPN;MFAP4;PLA2G16;LGALS1;ACTC1;CSRP1;COL4A2;NOV;STMN1;FXYD1;ANXA6;SPARCL1;COL9A3;VIM;MYL9;SCRG1;GPM6B,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,NICKEL 935 human GSE6281 sample 3479,21/282,3.397091203388589e-13,4.9087967888965096e-11,0,0,9.307148201047406,267.2146158091065,SLC12A2;PPP1R14A;MYOCD;FGFBP2;MYOC;FHL1;LMOD1;LPL;CNN1;MFAP4;PLA2G16;PCP4;DES;PLN;NOV;P2RX1;CASQ2;MYH11;FLNC;MYL9;CES1,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,doxorubicin DB00997 human GSE24460 sample 2533,21/304,1.4545148287564152e-12,1.80152050933116e-10,0,0,8.57396449704142,233.6949662608833,SPARC;SERPINE2;TPM2;MCAM;TGFB1I1;FHL1;FN1;LPL;PLAT;SEMA3E;LDHB;LGALS1;BAG2;COL4A2;NOV;PEG10;ANXA6;VIM;FLNC;MYL9;CRYAB,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,formaldehyde 712 rat GSE7002 sample 3548,19/247,2.710622162151991e-12,2.93763676823222e-10,0,0,9.54288499025341,254.16369990328337,MLIP;TGFB2;TAGLN;MIA;MME;S100B;ACTA2;AZGP1;RGCC;COL4A2;MPZ;PRX;PMP22;PLP1;SPARCL1;MAL;COL9A3;MBP;CRYAB,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,pioglitazone DB01132 rat GSE21329 sample 2843,23/400,5.2500966429643e-12,5.05759309938894e-10,0,0,7.099207420702362,184.38611439883144,SYNM;SPARC;CD151;CKM;SERPINE2;PGAM2;FHL1;LPL;S100B;LDHB;PLA2G16;DES;LGALS1;ACTC1;COL4A2;FXYD1;ALDH1A1;PMP22;VIM;DYNLRB1;MYL9;CRYAB;PDLIM7,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
Drug_Perturbations_from_GEO_up,dexamethasone DB01234 mouse GSE7683 sample 3524,22/370,8.15684532972872e-12,7.0719849008748e-10,0,0,7.323549534756431,186.98606502585105,CPM;TAGLN;SERPINE2;MIA;FHL1;DSTN;NEDD9;S100B;NCMAP;ACTG2;ASPN;ACTA2;SH3BGRL;RGCC;CSRP1;COL4A2;S100A6;PMP22;COL9A3;MYL9;CRYAB;SCRG1,Drug_Perturbations_from_GEO_up,Myofibroblasts_UP→UPmatch
