Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag,direction
LINCS_L1000_Chem_Pert_down,LJP009 A549 24H-GSK-429286A-3.33,5/10,1.7796220468367517e-08,3.8578481185090185e-06,0,0,107.05405405405403,1910.3024873526035,ACTA2;TAGLN;MCAM;TPM1;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP007 A549 24H-OSI-930-10,2/3,0.0002676417500225441,0.0058290247028858,0,0,210.7340425531915,1733.4689895001482,LDHB;FN1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP006 HCC515 24H-THZ-2-98-01-10,13/48,4.890859280010176e-16,4.559014477861484e-12,0,0,41.49717514124294,1462.9411417836309,CPM;TPM1;WFDC1;NEDD9;LTBP1;MYLK;RCAN1;PCP4;STMN1;PLP1;EFHD1;SCRG1;GPM6B,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,acrylamide 6579 rat GSE29004 sample 3110,37/274,5.444306176279165e-32,4.731102067186594e-29,0,0,19.971898182620446,1437.740055111718,SHC4;GPM6A;SPARC;SERPINE2;SEMA3B;LGALS1;MPZ;PRX;MBP;CTNNAL1;GPM6B;SNCA;BCAS1;SLC12A2;MLIP;EGR2;CKM;MYOC;PLLP;TPM1;OXR1;AIF1L;ACTA1;PLA2G16;COL4A2;SFRP5;S100A6;PMP22;MAL;VWA1;COL9A3;FXYD6;PMP2;ITGA6;VIM;HAGH;CRYAB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 A549 24H-ruxolitinib-10,12/55,1.1694863044595458e-13,5.450683293509828e-10,0,0,30.99085445518683,922.8159627203844,ACTA2;TAGLN;COL4A2;CALD1;TGFB1I1;TPM1;FN1;PMP22;ITGA6;COL9A3;ACTG2;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 HT29 24H-CP466722-10,7/27,4.72633830824724e-09,1.295781251186078e-06,0,0,37.849726775956285,725.5836179002649,NR4A2;EGR2;PCP4;SERPINE2;PEG10;CRYAB;MYLK,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP009 HA1E 24H-BI-2536-10,13/75,2.568442257698573e-13,7.188435906796198e-10,0,0,23.393839985420083,678.1945941776621,NRN1;TGFB1I1;TPM1;PLAT;ACTA2;CNN1;LGALS1;CSRP1;COL4A2;CALD1;MBP;MYL9;SCRG1,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
Drug_Perturbations_from_GEO_down,paclitaxel DB01229 human GSE19136 sample 2576,33/360,4.574508357125242e-23,1.9876238811709172e-20,0,0,12.523403260679016,644.190813201417,C11ORF96;TAGLN;SPARC;TNFAIP6;FHL1;LMOD1;PLAT;LTBP1;ACTG2;CNN1;FGF7;PDLIM3;SH3BGRL;PLN;MYH11;FILIP1L;CTNNAL1;AOC3;TPM2;FN1;DSTN;SULF1;ACTA2;MFAP4;DYNC1LI2;ACTC1;COL4A2;ALDH1A1;CASQ2;ITGA8;SPARCL1;MYL9;SCRG1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP008 HA1E 24H-RG-108-0.37,8/36,1.3791089347599291e-09,4.944370744371031e-07,0,0,31.05494505494505,633.5776551931331,AZGP1;SERPINE2;MCAM;SERPINB9;PMP2;S100B;SCRG1;KLK6,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 24H-dasatinib-1.11,9/44,2.7731063916527256e-10,1.533497754338181e-07,0,0,28.093922651933703,618.2315691880269,TAGLN;EGR2;PLN;SERPINE2;TPM2;TPM1;FN1;FILIP1L;SOX4,LINCS_L1000_Chem_Pert_down,Myofibroblasts_UP→DOWNmatch,reversal
