ensembl_id_stripped	gene_symbol	source_map	present_in_hvg	present_in_raw	duplicated_symbol_in_raw	notes
ENSG00000175899	A2M	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000166535	A2ML1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000081760	AACS	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000114771	AADAC	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000197953	AADACL2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000205002	AARD	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000215458	AATBC	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000181409	AATK	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000144452	ABCA12	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000198691	ABCA4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000141338	ABCA8	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000085563	ABCB1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000073734	ABCB11	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000069431	ABCC9	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000131969	ABHD12B	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000011198	ABHD5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000108798	ABI3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000154175	ABI3BP	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000143322	ABL2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000099204	ABLIM1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000163995	ABLIM2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000173210	ABLIM3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000174429	ABRA	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000083622	AC000061.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000237813	AC002066.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000283585	AC002384.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276851	AC002401.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000237819	AC002454.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000236453	AC003092.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000232821	AC003986.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000271133	AC004130.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000268812	AC004264.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000225792	AC004540.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276345	AC004556.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000266088	AC004585.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227495	AC004771.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277283	AC004812.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000233760	AC004947.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000203446	AC004988.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000284930	AC005280.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273816	AC005695.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256862	AC005842.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256417	AC006206.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000269729	AC006262.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000232445	AC006329.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000284681	AC007240.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000278817	AC007325.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000232028	AC007391.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256540	AC007406.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000260249	AC007608.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000270571	AC007681.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277639	AC007906.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000267583	AC007998.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257042	AC008011.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000260101	AC008074.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000279232	AC008522.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272021	AC008592.5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000275719	AC008622.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253978	AC008637.1	10x_features / GTF	True	True	False	from raw.gene_symbol
