cluster_id	cluster_name	n_cells	median_n_genes	median_total_counts	pct_counts_mt	pct_counts_ribo
0	Fibroblasts	11,981	1,225	3,691	2.91	20.48
1	Keratinocytes (suprabasal)	989	931	1,912	2.37	12.81
2	Pericyte/SMC	4,295	446	1,033	0.36	39.13
3	Endothelial	6,560	1,072	3,149	3.29	23.47
4	Keratinocytes (basal)	9,521	1,188	3,922	6.13	27.81
5	Keratinocytes (basal)	5,142	906	3,034	10.93	26.32
6	T cells (naive/memory)	2,441	1,104	3,757	4.76	38.72
7	Myeloid (mono/mac)	2,429	2,384	10,989	4.10	37.13
8	Low-quality / ribosomal	5,985	1,604	4,967	2.92	25.70
9	Myofibroblasts (?)	888	3,025	15,272	4.65	33.95
10	Keratinocytes (suprabasal)	2,207	714	2,261	9.49	18.85
11	Myofibroblasts	2,959	767	2,202	2.02	28.88
12	Mast cells	291	1,182	2,842	3.57	19.64
13	Keratinocytes (basal)	444	1,116	2,755	5.53	19.20
14	Low-quality / ribosomal	1,338	1,157	2,924	6.16	14.99
15	Lymphatic endothelium	2,721	1,091	3,907	2.64	17.50
16	Myofibroblasts	123	983	1,999	3.13	11.86
17	Keratinocytes (suprabasal)	349	360	732	2.78	20.69
18	Plasma cells	90	438	1,537	0.31	2.20
19	cDC1 / pDC mix	19	1,563	5,255	1.69	31.59
20		55	1,018	13,204	0.52	8.39
