cluster_id,gene_symbol,ensembl_id_stripped,logFC,padj,direction,scores
0,SERPINB5,ENSG00000206075,-4.602363,0.0,down,-46.84982
0,TUBA4A,ENSG00000127824,-4.6675763,0.0,down,-51.67396
0,LGALS7B,ENSG00000178934,-4.6925917,0.0,down,-54.261147
0,DSC3,ENSG00000134762,-4.839963,0.0,down,-43.11806
0,CXADR,ENSG00000154639,-5.137636,0.0,down,-40.27626
0,DCN,ENSG00000011465,7.5213885,0.0,up,159.9256
0,DPT,ENSG00000143196,7.2609267,0.0,up,112.94671
0,SFRP2,ENSG00000145423,7.0512652,0.0,up,106.92487
0,DKK2,ENSG00000155011,6.969314,0.0,up,41.879044
0,SVEP1,ENSG00000165124,6.9539666,0.0,up,45.53479
0,CFD,ENSG00000197766,6.7584925,0.0,up,141.0804
0,MMP23B,ENSG00000189409,6.6824484,0.0,up,69.25575
0,FBLN1,ENSG00000077942,6.6814246,0.0,up,129.3596
0,PTGDS,ENSG00000107317,6.6432977,0.0,up,105.27181
0,MMP2,ENSG00000087245,6.5749316,0.0,up,118.40413
0,LUM,ENSG00000139329,6.523178,0.0,up,135.80615
0,STMN2,ENSG00000104435,6.4777894,0.0,up,42.442886
3,SFN,ENSG00000175793,-3.6684654,0.0,down,-41.322098
3,S100A14,ENSG00000189334,-4.053168,0.0,down,-40.141502
3,FXYD3,ENSG00000089356,-4.1488957,0.0,down,-38.41065
3,CXCL14,ENSG00000145824,-4.535801,0.0,down,-59.51536
3,LGALS7B,ENSG00000178934,-4.7195644,0.0,down,-38.614655
3,PLVAP,ENSG00000130300,8.173766,0.0,up,88.4672
3,ADGRL4,ENSG00000162618,8.073102,0.0,up,76.61297
3,FAM110D,ENSG00000197245,7.9200196,0.0,up,46.894344
3,CCL14,ENSG00000276409,7.7466354,0.0,up,41.44893
3,SOX17,ENSG00000164736,7.72233,0.0,up,59.034676
3,ACKR1,ENSG00000213088,7.4513445,0.0,up,74.94417
3,CLDN5,ENSG00000184113,7.4193215,0.0,up,95.78193
3,PECAM1,ENSG00000261371,7.267776,0.0,up,89.25493
3,C2CD4B,ENSG00000205502,7.0243897,0.0,up,39.602615
3,MYCT1,ENSG00000120279,7.006615,0.0,up,48.932224
3,VWF,ENSG00000110799,6.9969254,0.0,up,70.60131
3,ECSCR,ENSG00000249751,6.9222026,0.0,up,84.58335
6,CST3,ENSG00000101439,-4.3491516,0.0,down,-51.676277
6,GSN,ENSG00000148180,-4.8418536,0.0,down,-48.67981
6,ADIRF,ENSG00000148671,-4.9053864,0.0,down,-44.37092
6,SELENOP,ENSG00000250722,-5.205716,0.0,down,-45.098938
6,CALD1,ENSG00000122786,-5.4181027,0.0,down,-41.94926
6,CD3D,ENSG00000167286,9.849657,0.0,up,55.561974
6,CD2,ENSG00000116824,9.139665,0.0,up,46.458076
6,TRBC2,ENSG00000211772,8.728243,0.0,up,41.926567
6,LTB,ENSG00000227507,7.845082,0.0,up,53.52469
6,CXCR4,ENSG00000121966,7.3761587,0.0,up,72.109856
6,CD52,ENSG00000169442,7.35246,0.0,up,68.33832
6,RHOH,ENSG00000168421,7.2702556,0.0,up,44.764183
6,CD69,ENSG00000110848,7.0988483,0.0,up,48.206257
6,TRAC,ENSG00000277734,6.955458,0.0,up,57.291405
6,PTPRC,ENSG00000081237,6.779738,0.0,up,58.600437
6,SAMSN1,ENSG00000155307,6.255887,0.0,up,53.91362
6,CLEC2D,ENSG00000069493,6.135583,0.0,up,39.959553
7,RPL7A,ENSG00000148303,-1.0034106,0.0,down,-38.281586
7,RPLP0,ENSG00000089157,-1.1463044,0.0,down,-37.722782
7,DSTN,ENSG00000125868,-2.4201562,0.0,down,-41.875042
7,PERP,ENSG00000112378,-3.8697574,0.0,down,-38.16218
7,CALD1,ENSG00000122786,-4.997451,0.0,down,-39.42225
7,CLEC10A,ENSG00000132514,9.4653845,0.0,up,41.77251
7,AIF1,ENSG00000204472,9.448681,0.0,up,72.879555
7,C1QA,ENSG00000173372,9.405826,0.0,up,53.50969
7,C1QB,ENSG00000173369,9.373935,0.0,up,41.13917
7,C1QC,ENSG00000159189,9.335006,0.0,up,40.227776
7,MS4A6A,ENSG00000110077,9.283926,0.0,up,57.633976
7,LYZ,ENSG00000090382,9.275764,0.0,up,60.28283
7,IL1B,ENSG00000125538,9.085634,0.0,up,54.592987
7,PLEK,ENSG00000115956,8.470481,0.0,up,55.25712
7,TYROBP,ENSG00000011600,8.222228,0.0,up,72.84085
7,MMP9,ENSG00000100985,8.072242,0.0,up,45.603374
7,SPI1,ENSG00000066336,8.023836,0.0,up,48.275925
9,RPLP0,ENSG00000089157,-2.1031423,1.627994187273587e-252,down,-34.16452
9,RPL12,ENSG00000197958,-1.8197235,5.487200227873759e-250,down,-33.98196
9,RPS7,ENSG00000171863,-1.6888416,1.3897062789326053e-208,down,-31.017546
9,RPS5,ENSG00000083845,-1.7256503,6.5228520046011276e-201,down,-30.43988
9,RPS3A,ENSG00000145425,-1.5147446,6.892851777885526e-195,down,-29.978071
9,GPM6B,ENSG00000046653,5.228605,5.381252397284014e-258,up,34.55167
9,PMP22,ENSG00000109099,3.4462836,5.773857174157002e-246,up,33.700035
9,S100B,ENSG00000160307,7.1953783,4.548087127690696e-245,up,33.63216
9,PLP1,ENSG00000123560,6.0999875,5.3238458820387106e-216,up,31.575602
9,CLU,ENSG00000120885,3.2305925,1.1369761549929094e-211,up,31.253681
9,CDH19,ENSG00000071991,9.251591,3.496624349713203e-210,up,31.139698
9,LGALS1,ENSG00000100097,2.375955,1.471461749240436e-188,up,29.485523
9,SCN7A,ENSG00000136546,8.674427,3.008392663762378e-177,up,28.586895
9,CRYAB,ENSG00000109846,3.320497,7.984614888267465e-174,up,28.307495
9,S100A6,ENSG00000197956,1.9121727,8.449556229122232e-170,up,27.976166
9,GSN,ENSG00000148180,2.2100081,9.517224623692631e-157,up,26.87732
9,NRXN1,ENSG00000179915,9.903705,1.0788295441918918e-155,up,26.784826
13,VIM,ENSG00000026025,-5.03957,2.7463225900986447e-91,down,-20.555542
13,LGALS1,ENSG00000100097,-4.5720873,1.0840493804435708e-67,down,-17.714306
13,SELENOP,ENSG00000250722,-5.838388,1.892807378046708e-63,down,-17.13918
13,JUNB,ENSG00000171223,-2.628966,8.338196639409892e-60,down,-16.633884
13,IFITM3,ENSG00000142089,-3.1205785,2.40248841653392e-57,down,-16.287983
13,CALML5,ENSG00000178372,7.376337,1.6452184642916509e-223,up,32.17374
13,KRT14,ENSG00000186847,5.1165004,1.6573571651321602e-138,up,25.33722
13,FXYD3,ENSG00000089356,4.185261,1.6573571651321602e-138,up,25.342388
13,CRABP2,ENSG00000143320,4.8959618,3.734031452519309e-137,up,25.202782
13,KRT6B,ENSG00000185479,7.053374,1.6237822231095635e-127,up,24.29857
13,KRT6A,ENSG00000205420,5.6220055,1.1313636812648594e-115,up,23.143328
13,MMP7,ENSG00000137673,9.096514,8.28581107523409e-114,up,22.950697
13,COX4I1,ENSG00000131143,2.1854746,5.03675325620281e-112,up,22.765518
13,KRT16,ENSG00000186832,5.141173,2.045154951452175e-102,up,21.768633
13,PERP,ENSG00000112378,2.9095273,6.216171937027798e-81,up,19.35907
13,S100P,ENSG00000163993,8.54948,2.183396655976524e-66,up,17.539974
13,GJB2,ENSG00000165474,5.417617,2.5735290008398763e-66,up,17.526415
16,RPL12,ENSG00000197958,-1.7445719,2.0186536483869772e-35,down,-12.850196
16,RPLP0,ENSG00000089157,-2.145199,8.611102379033747e-32,down,-12.162028
16,UBB,ENSG00000170315,-2.922845,8.613544586627931e-28,down,-11.377976
16,RPS5,ENSG00000083845,-1.748925,6.200789671035709e-26,down,-10.991788
16,RACK1,ENSG00000204628,-1.6674658,1.1946210097082228e-25,down,-10.929155
16,MPZ,ENSG00000158887,12.760842,1.7449934952280364e-75,up,18.793821
16,MBP,ENSG00000197971,9.72067,1.7449934952280364e-75,up,18.792337
16,PMP22,ENSG00000109099,7.060037,1.8249143114939925e-73,up,18.522146
16,PRX,ENSG00000105227,9.839515,7.948057963504425e-72,up,18.290035
16,S100B,ENSG00000160307,9.032076,7.948057963504425e-72,up,18.295732
16,CRYAB,ENSG00000109846,5.9716334,1.5642622454117222e-69,up,17.989697
16,PLP1,ENSG00000123560,7.9316864,3.158878432308943e-65,up,17.422922
16,GPM6B,ENSG00000046653,5.8273487,1.969010497127425e-55,up,16.073112
16,MLIP,ENSG00000146147,10.955194,3.182344843785373e-53,up,15.747365
16,SPARC,ENSG00000113140,4.097809,5.687297037161545e-49,up,15.108575
16,BCAS1,ENSG00000064787,11.096934,5.2699930052339614e-48,up,14.954796
16,VIM,ENSG00000026025,3.4502246,1.5508001974439676e-44,up,14.407347
17,RPL12,ENSG00000197958,-4.2105665,1.3761948761192035e-46,down,-14.686107
17,RPS3A,ENSG00000145425,-4.260331,1.2907768375557014e-45,down,-14.525197
17,RPL7A,ENSG00000148303,-3.9487052,8.6407324010156e-38,down,-13.203055
17,RPL8,ENSG00000161016,-3.0144358,1.1984839089440329e-36,down,-12.996044
17,TMSB10,ENSG00000034510,-5.497383,2.0798040835232018e-35,down,-12.77064
17,LOR,ENSG00000203782,16.060467,6.4045686102804695e-62,up,17.043722
17,ASPRV1,ENSG00000244617,15.107728,6.4045686102804695e-62,up,17.043743
17,CST6,ENSG00000175315,13.20083,6.4045686102804695e-62,up,17.031408
17,CTNNBIP1,ENSG00000178585,7.516308,2.5010986762870065e-60,up,16.798544
