lineage,rank_in_lineage,gene_display,gene_id,best_padj,median_abs_logFC,max_abs_logFC,n_support_clusters,frac_up,clusters_supporting
Endothelial,1,PLVAP,ENSG00000130300,0.0,8.173766,8.173766,1,1.0,3
Fibroblasts,1,DCN,ENSG00000011465,0.0,7.5213885,7.5213885,1,1.0,0
Keratinocytes,1,MFAP4,ENSG00000166482,0.0,5.43480485,29.534815,6,0.0,"1,4,5,10,13,17"
Low-quality / ribosomal,1,AQP5,ENSG00000161798,0.0,8.460575,8.460575,1,1.0,8
Lymphatic endothelium,1,TFF3,ENSG00000160180,8.378015519303392e-158,12.379457,12.379457,1,1.0,15
Mast cells,1,TPSAB1,ENSG00000172236,0.0,14.03747,14.03747,1,1.0,12
Myeloid,1,CLEC10A,ENSG00000132514,0.0,9.4653845,9.4653845,1,1.0,7
Myofibroblasts,1,DES,ENSG00000175084,0.0,9.745384,9.745384,1,1.0,11
Pericyte/SMC,1,RERGL,ENSG00000111404,0.0,7.727148,7.727148,1,1.0,2
Plasma cells,1,IGHGP,ENSG00000253755,6.442143302260611e-30,15.502416,15.502416,1,1.0,18
T cells,1,CD3D,ENSG00000167286,0.0,9.849657,9.849657,1,1.0,6
cDC1 / pDC mix,1,GPR183,ENSG00000169508,4.608483268515013e-10,7.4875164,7.4875164,1,1.0,19
