compound,rev_score_sum,n_clusters
LJP006 HA1E 24H-mitoxantrone-3.33,191.81971098589784,20
LJP006 HA1E 24H-alvocidib-3.33,156.89851346106843,20
LJP006 HA1E 24H-alvocidib-10,154.40650650219808,20
LJP006 HA1E 24H-CGP-60474-0.37,150.14807823287242,20
LJP006 MDAMB231 24H-CGP-60474-0.04,146.17600807851832,20
LJP006 HA1E 24H-CGP-60474-0.04,143.38439351886072,20
LJP006 HA1E 24H-AZD-5438-10,141.42265915070246,20
LJP006 HA1E 24H-CGP-60474-3.33,139.9460499012794,20
LJP006 HA1E 24H-alvocidib-0.12,137.70484110038586,20
LJP006 HA1E 24H-CGP-60474-10,136.14044967050157,20
LJP006 MDAMB231 24H-CGP-60474-0.37,136.0171278858037,20
LJP006 HA1E 24H-alvocidib-1.11,133.28394347921306,20
LJP005 A375 24H-CGP-60474-3.33,129.7644873252801,20
LJP006 HA1E 24H-alvocidib-0.37,129.61095932634166,20
LJP005 MDAMB231 24H-WZ-3105-3.33,128.87113411768038,20
LJP006 HCC515 24H-CGP-60474-10,127.02930661576833,20
LJP006 MCF10A 24H-BMS-387032-10,125.43857691310832,20
LJP005 A375 24H-CGP-60474-1.11,125.27324776136277,20
LJP006 MDAMB231 24H-PHA-793887-10,125.23965443946277,20
LJP006 HA1E 24H-AT-7519-10,124.30110433030704,20
LJP006 MDAMB231 24H-BMS-387032-1.11,122.08647392440506,20
LJP006 MDAMB231 24H-alvocidib-3.33,121.92377853402704,20
LJP006 HA1E 24H-CGP-60474-1.11,121.80552500740951,20
LJP006 MDAMB231 24H-BMS-387032-10,121.66102701167505,20
LJP005 HA1E 24H-CGP-60474-1.11,120.97541437323517,20
LJP006 HCC515 24H-AT-7519-10,120.67552357564166,20
LJP006 HA1E 24H-BMS-387032-10,119.98119404953836,20
LJP006 HA1E 24H-JNK-9L-3.33,117.57049894212517,20
LJP006 MCF10A 24H-PF-562271-10,117.21136229471745,20
LJP006 MDAMB231 24H-CGP-60474-10,116.53230182497799,20
LJP005 A375 24H-WZ-3105-1.11,114.4787505937153,20
LJP006 HA1E 24H-CGP-60474-0.12,114.19029561884354,20
LJP006 MDAMB231 24H-AT-7519-1.11,114.15886136073398,20
LJP006 MCF10A 24H-WZ-4-145-3.33,113.6651670001488,20
LJP005 HA1E 24H-CGP-60474-3.33,113.03313751911605,20
LJP006 MDAMB231 24H-AT-7519-3.33,112.41803487715072,20
LJP006 HA1E 24H-BMS-387032-3.33,111.96907525895939,20
LJP006 A375 24H-CGP-60474-0.37,111.06401208810976,20
LJP006 MCF10A 24H-CGP-60474-1.11,110.99842837528513,20
LJP006 HS578T 24H-CGP-60474-10,110.98522831109717,20
LJP006 A375 24H-alvocidib-10,110.50642179668712,20
LJP006 HCC515 24H-BMS-387032-10,110.09842251040948,20
LJP005 A549 24H-WZ-3105-10,109.0275426111118,20
LJP006 PC3 24H-CGP-60474-1.11,108.73412566509299,20
LJP006 HME1 24H-gefitinib-0.37,108.51953922433053,20
LJP006 MDAMB231 24H-CGP-60474-3.33,108.49772191698601,20
LJP006 HME1 24H-canertinib-0.12,108.26851145101635,20
LJP006 MCF10A 24H-AT-7519-10,107.56797252821612,20
LJP006 HA1E 24H-PF-562271-10,107.55823965521957,20
LJP006 HA1E 24H-AT-7519-3.33,106.2093311787022,20
LJP006 MCF10A 24H-alvocidib-0.12,106.03629264258522,20
LJP005 A375 24H-PF-431396-10,105.54378892724164,20
LJP006 PC3 24H-alvocidib-10,105.42979049486036,20
LJP005 HS578T 24H-WZ-3105-0.37,105.15707693666994,20
LJP007 HA1E 24H-dinaciclib-0.12,104.46711058784807,20
LJP007 HCC515 24H-CGP-60474-0.37,103.1439024520413,20
LJP006 MCF10A 24H-CGP-60474-3.33,102.99575651129626,20
LJP006 HME1 3H-alvocidib-1.11,102.9833432084362,20
LJP006 HA1E 24H-BMS-345541-10,102.86469132645165,20
LJP007 A375 24H-OTSSP167-1.11,102.85175165664647,20
LJP005 A549 24H-CGP-60474-3.33,102.70198901494228,20
LJP006 HME1 24H-AS-605240-3.33,102.28447214617924,20
LJP006 MCF10A 24H-CGP-60474-0.37,102.17263288732609,20
LJP005 HA1E 24H-CGP-60474-0.37,101.93296247712289,20
LJP005 HA1E 24H-WZ-3105-1.11,101.23581191106966,20
LJP005 MCF10A 24H-CGP-60474-0.37,101.0452535645762,20
LJP006 MDAMB231 24H-alvocidib-10,100.95935349315104,20
LJP007 A375 24H-dinaciclib-10,100.66709607022557,20
LJP006 HS578T 24H-CGP-60474-1.11,100.32550954779532,20
LJP006 MCF10A 24H-AT-7519-1.11,100.08164980553467,20
LJP006 HS578T 24H-mitoxantrone-1.11,98.99273277159855,20
LJP006 A375 24H-AZD-5438-10,98.38289980423082,20
LJP006 HA1E 24H-A443654-3.33,97.64519800325476,20
LJP006 MCF10A 24H-CGP-60474-0.12,97.41561097278904,20
LJP006 PC3 24H-CGP-60474-10,97.28132703902864,20
LJP006 MCF10A 24H-JNK-9L-10,96.9366603191099,20
LJP006 A549 24H-CGP-60474-0.37,96.8819315899557,20
LJP006 MDAMB231 24H-alvocidib-0.37,96.6431093947406,20
LJP006 MCF10A 3H-PI-103-1.11,96.54958451009492,20
LJP006 MCF10A 24H-AZD-5438-10,95.98899987063521,20
LJP006 HA1E 24H-JNK-9L-10,95.62863737279962,20
LJP006 HCC515 24H-A443654-10,95.36240521252498,20
LJP007 A375 24H-CGP-60474-10,94.85922333466596,20
LJP006 MDAMB231 24H-alvocidib-1.11,94.66760046677278,20
LJP005 A549 24H-CGP-60474-1.11,94.56920206586973,20
LJP006 HME1 24H-selumetinib-1.11,93.36757050286174,20
LJP006 HME1 24H-saracatinib-10,92.7765261347742,20
LJP006 HS578T 24H-BMS-387032-1.11,92.55490355295996,20
LJP006 A375 24H-CGP-60474-1.11,91.2203398099313,20
LJP006 HCC515 24H-alvocidib-10,91.18408793952408,20
LJP007 HA1E 24H-CGP-60474-3.33,91.18325987843035,20
LJP006 HS578T 24H-alvocidib-0.12,90.30754240572738,20
LJP005 HA1E 24H-WZ-3105-0.37,89.96367024051179,20
LJP005 HA1E 24H-PF-431396-10,89.83440299446346,20
LJP006 A375 24H-PF-562271-10,89.8068186702587,20
LJP009 A549 24H-CGP-60474-10,89.78813127473042,20
LJP006 HS578T 24H-BMS-387032-3.33,89.38685554890718,20
LJP006 MDAMB231 24H-A443654-3.33,89.20585394731914,20
LJP005 A375 24H-WZ-3105-10,88.8759946129129,20
LJP006 A549 24H-BMS-345541-10,88.79471182580762,20
LJP005 A375 24H-PLX-4720-0.04,88.17432965573171,20
LJP005 PC3 24H-CGP-60474-1.11,87.74491739676851,20
LJP006 HA1E 24H-withaferin-a-10,87.34153407175552,20
LJP009 A549 24H-CGP-60474-1.11,86.87542721391996,20
LJP006 HCC515 24H-AT-7519-3.33,86.18467139739909,20
LJP006 MDAMB231 24H-BMS-345541-10,86.01967635088651,20
LJP005 HS578T 24H-WZ-3105-0.04,85.44718596449023,20
LJP006 A375 24H-BMS-345541-10,84.87770134006703,20
LJP006 HS578T 24H-CHIR-99021-1.11,84.7052890555326,20
LJP009 A375 24H-CGP-60474-0.37,84.18934598615854,20
LJP006 MCF10A 3H-dasatinib-0.12,84.15672155786554,20
LJP006 MDAMB231 24H-PF-562271-10,84.0587881046923,20
LJP006 HS578T 24H-alvocidib-3.33,83.95384309821935,20
LJP006 PC3 24H-JNK-9L-10,83.77912813737068,20
LJP006 MCF10A 24H-AS-605240-0.37,83.68211702249926,20
LJP005 PC3 24H-WZ-3105-0.37,83.34754941531192,20
LJP005 HA1E 24H-AS-601245-3.33,83.30216833287679,20
LJP006 HS578T 24H-PF-562271-10,83.03908350223594,20
LJP007 A375 24H-dinaciclib-1.11,82.48769277583374,20
LJP006 MCF7 24H-BMS-387032-10,81.95559037612668,20
LJP006 MCF10A 24H-BMS-387032-3.33,81.47686828348714,20
LJP006 LNCAP 24H-CGP-60474-10,81.04534284755935,20
LJP006 HA1E 24H-mitoxantrone-10,80.68261487178596,20
LJP006 A375 24H-BMS-387032-10,80.49279160604483,20
LJP005 A549 24H-WZ-3105-3.33,80.37620504583185,20
LJP007 A375 24H-mitoxantrone-10,80.15439670281621,20
LJP005 HCC515 24H-WZ-3105-10,80.15089891364545,20
LJP006 MDAMB231 24H-BMS-387032-3.33,80.07681753617814,20
LJP005 BT20 24H-CGP-60474-10,80.00614904965855,20
LJP006 PC3 24H-BMS-387032-10,79.49098141137613,20
LJP006 HME1 24H-alvocidib-3.33,79.43748381555415,20
LJP006 HS578T 24H-BMS-387032-10,79.25784522988228,20
LJP006 HS578T 24H-A443654-1.11,78.8984222555105,20
LJP005 A375 24H-CGP-60474-0.37,78.70075764857077,20
LJP006 A375 24H-AT-7519-10,78.5628567258912,20
LJP007 A375 24H-CGP-60474-0.04,78.54249333431115,20
LJP006 HME1 3H-AZD-7762-3.33,78.3434820453067,20
LJP005 HA1E 24H-PD-0325901-10,78.31966218614869,20
LJP006 A549 24H-CGP-60474-10,78.3023622990821,20
LJP005 A549 24H-WZ-3105-1.11,77.75700128892039,20
LJP005 MCF10A 24H-PD-184352-10,77.3669565244348,20
LJP006 MCF10A 24H-canertinib-0.37,77.28071289707654,20
LJP005 PC3 24H-CGP-60474-0.37,77.14579590159966,20
LJP006 A549 24H-PF-562271-10,76.63422390757083,20
LJP007 HCC515 24H-dinaciclib-3.33,76.60095536217051,20
LJP005 PC3 24H-CGP-60474-3.33,76.23764389363888,20
LJP006 MCF7 24H-BMS-387032-1.11,76.05800841956422,20
LJP006 PC3 24H-A443654-10,75.96929437153705,20
LJP006 MDAMB231 24H-CGP-60474-0.12,75.77450323024888,20
LJP006 A549 24H-alvocidib-10,75.72867459409572,20
LJP006 LNCAP 24H-AT-7519-3.33,75.69971430544926,20
LJP006 HS578T 24H-JNK-9L-10,75.69941053695655,20
LJP006 MDAMB231 24H-BMS-387032-0.12,75.50437831992147,20
LJP006 PC3 24H-AT-7519-3.33,75.49387604757362,20
LJP006 HME1 24H-canertinib-0.04,75.45994445706428,20
LJP006 MCF10A 24H-radicicol-0.12,75.4319656713514,20
