base_compound,moa,status,total_score,n_fib_clusters,max_rev,best_p,caution_flag
AZD-5438,CDK inhibitor,Clinical-stage,66.23295683895788,2,23.15011282199297,7.0776189652949e-24,True
AZD-7762,CHK1/2 inhibitor,Clinical-stage,41.169902361759895,1,27.27576650203242,5.2994829344817265e-28,True
CGP-60474,CDK inhibitor,Preclinical / tool,37.11135115996007,2,26.25010230848123,5.62208867806504e-27,True
mitoxantrone,Topoisomerase II inhibitor,FDA-approved (oncology),36.57262499678991,1,32.10374459247704,7.875087855297112e-33,True
radicicol,HSP90 inhibitor,Preclinical / tool,29.442093826706405,1,20.87690029315633,1.327699240569699e-21,False
JNK-9L,JNK inhibitor,Unknown,29.226276027872835,1,15.105318017733769,7.8466084616633e-16,False
XMD-1150,ERK5 inhibitor,Preclinical / tool,25.53270041924712,1,21.43543531945693,3.669143358248452e-22,False
BI-2536,PLK1 inhibitor,Clinical-stage,25.22738191320204,1,21.43543531945693,3.669143358248452e-22,False
I-BET,BET bromodomain inhibitor,Clinical-stage,22.33899334870336,1,18.855542651163592,1.3946246877057674e-19,False
pelitinib,EGFR inhibitor,Unknown,20.45441948680311,1,17.093816405511827,8.05718980412015e-18,False
