cluster_id,median_n_genes_by_counts,median_total_counts,median_pct_counts_mt,median_pct_counts_ribo,n_cells
0,1225.0,3691.0,2.905904,20.483578,11981
1,931.0,1912.0,2.3688662,12.807244,989
2,446.0,1033.0,0.36275694,39.130436,4295
3,1072.0,3149.0,3.2860742,23.469086,6560
4,1188.0,3922.0,6.1266875,27.808805,9521
5,906.5,3033.5,10.93261,26.317974,5142
6,1104.0,3757.0,4.7578945,38.72465,2441
7,2384.0,10989.0,4.1042576,37.12615,2429
8,1604.0,4967.0,2.924509,25.70458,5985
9,3025.0,15272.5,4.6482487,33.952393,888
10,714.0,2261.0,9.485683,18.853664,2207
11,767.0,2202.0,2.022059,28.883373,2959
12,1182.0,2842.0,3.5696332,19.64018,291
13,1115.5,2755.0,5.534112,19.198854,444
14,1157.0,2924.5,6.1589785,14.985971,1338
15,1091.0,3907.0,2.6378896,17.495987,2721
16,983.0,1999.0,3.1313818,11.861228,123
17,360.0,732.0,2.7839644,20.69426,349
18,437.5,1537.0,0.31207156,2.2008057,90
19,1563.0,5255.0,1.6914285,31.58529,19
20,1018.0,13204.0,0.51683515,8.385384,55
